metric,value
avg_coupling_code_size_cut_inconsisetent_values,[]
avg_coupling_code_size_cut_inconsisetent_num,0
ccp_inconsisetent_values,[]
ccp_inconsisetent_num,0
commit_day_density_inconsisetent_values,[]
commit_day_density_inconsisetent_num,0
commit_days_inconsisetent_values,"['2.0', '3.0']"
commit_days_inconsisetent_num,2
commit_period_inconsisetent_values,['1.0']
commit_period_inconsisetent_num,1
commits_inconsisetent_values,"['1.0', '4.0']"
commits_inconsisetent_num,2
commits_per_day_inconsisetent_values,[]
commits_per_day_inconsisetent_num,0
corrective_multiline_message_ratio_inconsisetent_values,[]
corrective_multiline_message_ratio_inconsisetent_num,0
cursing_rate_inconsisetent_values,[]
cursing_rate_inconsisetent_num,0
files_created_inconsisetent_values,[]
files_created_inconsisetent_num,0
files_edited_inconsisetent_values,"['1.0', '4.0']"
files_edited_inconsisetent_num,2
message_length_avg_inconsisetent_values,"['1.0', '2.0']"
message_length_avg_inconsisetent_num,2
multiline_message_ratio_inconsisetent_values,[]
multiline_message_ratio_inconsisetent_num,0
negative_sentiment_rate_inconsisetent_values,[]
negative_sentiment_rate_inconsisetent_num,0
one_file_fix_rate_inconsisetent_values,[]
one_file_fix_rate_inconsisetent_num,0
one_file_refactor_rate_inconsisetent_values,[]
one_file_refactor_rate_inconsisetent_num,0
positive_sentiment_rate_inconsisetent_values,"['2.0', '3.0', '4.0']"
positive_sentiment_rate_inconsisetent_num,3
prev_touch_ago_inconsisetent_values,[]
prev_touch_ago_inconsisetent_num,0
refactor_mle_inconsisetent_values,['1.0']
refactor_mle_inconsisetent_num,1
reverted_ratio_inconsisetent_values,"['1.0', '4.0']"
reverted_ratio_inconsisetent_num,2
same_date_duration_avg_inconsisetent_values,[]
same_date_duration_avg_inconsisetent_num,0
tests_presence_inconsisetent_values,[]
tests_presence_inconsisetent_num,0
