repo_name,author_email,author_name,names,author_email_domain,owned_repository,min_commit_timestamp,max_commit_timestamp,commits,min_commit,max_commit,files_edited,files_created,files_owned,files_edited_ccp,files_created_ccp,files_owned_ccp,corrective_rate,ccp,refactor_mle,cursing_rate,positive_sentiment_rate,negative_sentiment_rate,avg_coupling_size,avg_coupling_code_size,avg_coupling_size_capped,avg_coupling_code_size_capped,avg_coupling_size_cut,avg_coupling_code_size_cut,tests_presence,multiline_message_ratio,message_length_avg,corrective_multiline_message_ratio,corrective_message_length_avg,non_corrective_multiline_message_ratio,non_corrective_message_length_avg,duplicated_commits_ratio,self_from_all_ratio,same_date_duration_avg,same_date_commits,commit_period,commits_per_day,commit_days,commit_weeks,commit_months,commit_days_of_week,commit_hours,commit_day_density,Sunday_prob,Monday_prob,Tuesday_prob,Wednesday_prob,Thursday_prob,Friday_prob,Saturday_prob,days_entropy,hour_entropy,avg_file_size,capped_avg_file_size,avg_code_file_size,capped_avg_code_file_size,sum_file_size,capped_sum_file_size,sum_code_file_size,capped_sum_code_file_size,prev_touch_ago,bug_prev_touch_ago,same_day_duration_avg,one_file_fix_rate,one_file_refactor_rate,test_usage_rate,test_usage_in_refactor_rate,no_test_refactor_rate,textual_abstraction_commits,textual_abstraction_commits_rate,testing_involved_prob,corrective_testing_involved_prob,refactor_testing_involved_prob,abs_content_ratio,minutes_to_revert,reverted_ratio,performance_rate,security_rate
hvasbath/beat,a1140048ee72e35d9e3dd65062c91857beee5a49@gx.net,hvasbath,1,gx.net,1,2017-11-06 22:03:58 UTC,2017-11-06 22:03:58 UTC,1,2a241a02485e051ace20945eaef602d4adc04033,2a241a02485e051ace20945eaef602d4adc04033,0,0,0,0,0,0,1,1.157,-0.034,0,0,0,,,,,,,0,1,37,1,37,,,1,0,,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,-1,-1,-1,,-1,-1,0,0
rvpanoz/luna,c270ec6cb88803f9894eeaea648c6cb3b1183e04@gmail.com,rvpanoz,1,gmail.com,1,2018-01-13 08:46:33 UTC,2018-01-16 21:22:45 UTC,10,1d1fbd687727578dffaa227affa32738a14170dd,fe86a975cd3dbcd3f87fabfbfe49ce8524d9b89c,0,0,0,0,0,0,0.4,0.43400000000000005,1.1727999999999998,0,0,0,-1,-1,-1,-1,-1,-1,0,1,31,1,47.25,1,20.166666666666668,1,0,,0,3,2.5,10,2,1,4,7,2.5,0.4,0.2,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0
hvasbath/beat,f30982c1e106779b79337dbe656e494c0f959a3d@uni-potsdam.de,hvasbath,2,uni-potsdam.de,1,2017-11-02 10:29:25 UTC,2018-01-12 16:16:40 UTC,6,4e364e0376beafd3df33262f527ee960dda7bebb,f7145059a91a2688bc3694828e9c230579060254,0,0,0,0,0,0,0.16666666666666666,0.15283333333333332,0.2533333333333333,0,0,0,-1,-1,-1,-1,-1,-1,0,1,86.166666666666671,1,32,1,97,1,0,,0,71,2,5,3,2,2,5,0.069444444444444448,0,0,0,0,0.16666666666666666,0.83333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0
markstory/lint-review,17681456e2a7c57d671af46a1646ca837913eb28@hotmail.com,fadeltd,2,hotmail.com,0,2019-03-08 08:30:23 UTC,2020-01-03 11:28:59 UTC,32,02b72c5092524aab7ddc6dc638653c677c6b0b4c,f6d06a869ea55584d2136dd92e02853a62eee4cb,0,0,0,0,0,0,0.28125,0.29090625000000003,0.019874999999999997,0,0,0,-1,-1,-1,-1,-1,-1,0,0.9375,31.4375,1,36,0.91304347826086951,29.65217391304348,1,0,,0,301,4,32,5,4,6,10,0.10596026490066225,0.25,0,0.15625,0.15625,0.09375,0.25,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0
database-rider/database-rider,701e24991db80ee7da00e0e356ca2f1e7c3eb23e@mobiquityinc.com,rmpestano,1,mobiquityinc.com,0,2019-11-14 13:07:41 UTC,2020-04-17 06:46:38 UTC,79,02bd1090c86765095eaab7eec2c75b2e782cf8ae,ff19bf874eeb8af6953ea6700b1c2280c17f5d90,0,0,0,0,0,0,0.16455696202531644,0.1502911392405063,0.009645569620253161,0,0,0,-1,-1,-1,-1,-1,-1,0,1,31.74683544303797,1,20.846153846153847,1,33.893939393939384,1,0,,0,154,3.2916666666666665,79,10,5,7,16,0.50967741935483868,0.25316455696202533,0.050632911392405063,0.0379746835443038,0.20253164556962025,0.29113924050632911,0.0759493670886076,0.088607594936708861,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,2,0.025316455696202531,-1,-1,-1,,-1,-1,0,0
database-rider/database-rider,bigboss666,rmpestano,1,bigboss666,0,2016-09-17 17:24:22 UTC,2017-03-04 19:47:42 UTC,71,0450f25210153318b380d831ce29bc804b598851,fe3ced24837b3757c55994b15e0486102381e306,0,0,0,0,0,0,0.19718309859154928,0.18960563380281692,0.014563380281690137,0,0,0,-1,-1,-1,-1,-1,-1,0,1,22.887323943661972,1,16.214285714285712,1,24.526315789473685,1,0,,0,168,3.9444444444444446,71,11,5,6,17,0.42011834319526625,0.21126760563380281,0.056338028169014086,0,0.042253521126760563,0.042253521126760563,0.23943661971830985,0.40845070422535212,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0
pingcap/tidb,02d93c6118f2b1223ac4e2534fddeee59826d099@gmail.com,lance6716,1,gmail.com,0,2019-08-13 13:04:11 UTC,2021-02-02 10:33:28 UTC,16,1cb773919b7e990dc7947b057fc7d3bd69967d69,f82e5320ad75442f8f9dd76316ef20b1707386ee,0,0,0,0,0,0,0.625,0.705125,-0.034,0,0,0,-1,-1,-1,-1,-1,-1,0,1,126.93749999999999,1,163.6,1,65.833333333333329,1,0,,0,538,1.0666666666666667,16,12,9,7,8,0.029684601113172542,0.0625,0.125,0.25,0.0625,0.125,0.3125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,-1,-1,-1,,-1,-1,0,0.0625
zulip/zulip,45df2db257bf79b4f7c767c2bd0760356d7de7c5@gmail.com,vinitS101,2,gmail.com,0,2019-02-03 21:24:18 UTC,2020-09-01 15:46:14 UTC,57,01b19291e73f5bfddd48999623d581d40fe12caf,fe2ec995b63737793aa9b7b34ace0eb49baab637,0,0,0,0,0,0,0.45614035087719296,0.50164912280701746,0.32894736842105265,0,0,0.017543859649122806,-1,-1,-1,-1,-1,-1,0,1,210.38596491228068,1,269.15384615384619,1,161.09677419354841,1,0,,0,575,1.3571428571428572,57,28,9,7,16,0.098958333333333329,0.10526315789473684,0.10526315789473684,0.08771929824561403,0.17543859649122806,0.14035087719298245,0.15789473684210525,0.22807017543859648,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,8,0.14035087719298245,-1,-1,-1,,-1,-1,0,0.017543859649122806
oppia/oppia,f887c00ad4d2ec882c923a94d7aad37682a7adae@gmail.com,vinitamurthi,2,gmail.com,0,2018-04-02 19:49:14 UTC,2020-09-07 08:16:39 UTC,31,00ebe1c3eb8fb12579ffb11297431eef3c192cf7,eb6c0ffe3f99ef49090eb37a6ce30cca06fdf838,0,0,0,0,0,0,0.90322580645161288,1.0403870967741935,0.0772258064516129,0,0,0.0967741935483871,-1,-1,-1,-1,-1,-1,0,1,450.61290322580646,1,484.42857142857156,1,135,1,0,,0,888,1.0333333333333334,31,21,10,7,20,0.034870641169853771,0.064516129032258063,0.22580645161290322,0.064516129032258063,0.22580645161290322,0.16129032258064516,0.22580645161290322,0.032258064516129031,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,3,0.0967741935483871,-1,-1,-1,,-1,-1,0,0
frappe/frappe,97cff04cb0e8ab627a261548857128f558e0af8b@users.noreply.github.com,barredterra,2,users.noreply.github.com,0,2020-07-14 17:33:39 UTC,2021-04-17 16:31:43 UTC,182,0139de6c4e8fc526de44e67cd25224fd661a06fd,ff6f2271b1080ef2b6fa9c6ebe4d0701763c482b,0,0,0,0,0,0,0.48351648351648352,0.53463736263736261,0.28806593406593406,0,0,0.02197802197802198,-1,-1,-1,-1,-1,-1,0,0.91208791208791207,43.362637362637365,0.89772727272727271,44.465909090909086,0.925531914893617,42.329787234042556,1,0,,0,276,2.716417910447761,182,31,10,7,16,0.65703971119133575,0.13736263736263737,0.26923076923076922,0.087912087912087919,0.13736263736263737,0.16483516483516483,0.17032967032967034,0.032967032967032968,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0.038461538461538464
