cases,developers,a_popularity_group,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
2,2,Low,0,0,0,0,0,0,0,1,1,1,0
2,2,Low,0,0,0,0,0,0,0,0,0,0,0
2,2,Low,0,0,0,0,0,0,1,1,1,0,0
2,2,Low,0,0,1,0,0,0,1,0,0,1,1
36,2,Low,1,1,0,1,0,1,0,1,1,1,0
2,2,Low,1,1,1,1,0,1,1,0,0,1,1
2,2,Low,1,0,0,0,0,0,0,1,1,1,0
2,2,Low,0,0,0,0,0,0,1,1,1,0,1
9,2,Low,1,1,1,1,1,1,1,1,1,1,0
110,2,Low,1,1,0,1,0,1,0,1,0,0,1
6,2,Low,1,1,1,1,0,1,1,1,1,1,0
2,2,Low,1,1,0,0,0,0,0,1,1,1,1
17,2,Low,1,1,1,1,1,1,0,1,1,1,0
93,3,Low,1,1,1,1,1,1,0,1,0,0,1
11,3,Low,1,1,1,1,1,1,1,1,1,0,1
23,3,Low,1,1,1,1,0,1,0,1,1,1,1
3,3,Low,0,0,0,0,0,0,0,1,1,0,0
174,3,Low,1,1,1,1,0,1,0,1,0,0,0
10,3,Low,1,1,1,1,0,1,1,1,1,0,1
137,3,Low,1,1,1,1,0,1,0,1,0,1,0
3,3,Low,1,1,0,0,0,0,0,1,1,0,0
375,3,Low,1,1,1,1,1,1,0,1,0,0,0
124,3,Low,1,1,1,1,0,1,1,1,0,0,0
107,3,Low,1,1,1,1,0,1,0,1,0,0,1
3,3,Low,1,1,0,0,0,0,0,1,0,0,0
4,4,Low,1,0,0,0,0,0,0,1,1,0,0
16,4,Low,1,1,0,1,0,1,1,1,1,1,0
127,4,Low,1,1,1,1,0,1,1,1,0,1,0
6,4,Low,1,1,1,1,0,1,1,1,1,0,0
9,4,Low,1,1,0,1,0,1,0,1,1,1,1
185,5,Low,1,1,1,1,1,1,0,1,0,1,0
131,5,Low,1,1,1,1,1,1,1,1,0,0,0
668,5,Low,1,1,0,1,0,1,0,1,0,1,0
216,5,Low,1,1,0,1,0,1,1,1,0,1,1
31,5,Low,1,1,0,1,0,1,1,1,1,0,0
107,6,Low,1,1,1,1,1,1,1,1,0,1,0
124,6,Low,1,1,0,1,0,1,1,1,0,1,0
144,6,Low,1,1,0,1,0,1,0,1,0,1,1
106,7,Low,1,1,0,1,0,1,0,1,1,0,0
129,7,Low,1,1,0,1,0,1,1,1,0,0,1
579,7,Low,1,1,1,1,0,1,1,1,0,0,1
3666,263,Low,0,1,1,0,0,1,1,0,0,1,1
230,8,Low,1,1,1,1,0,1,0,1,0,1,1
245,8,Low,1,1,0,1,0,1,1,1,0,0,0
178,8,Low,1,1,1,1,1,1,1,1,0,0,1
2081,9,Low,1,1,0,1,0,1,0,1,0,0,0
31,11,Low,1,1,0,1,0,1,1,1,1,1,1
5181,268,Low,1,1,1,0,0,1,1,0,1,1,1
86,13,Low,1,1,1,1,0,1,1,1,1,1,1
28,14,Low,0,0,1,0,0,1,1,0,1,0,0
160,15,Low,1,1,1,1,1,1,0,1,0,1,1
31,16,Low,1,0,1,0,0,1,1,0,1,0,0
24,16,Low,1,0,0,0,0,1,0,0,0,0,1
23,17,Low,1,0,1,0,1,1,0,0,0,0,1
133,17,Low,1,0,0,0,0,1,0,0,0,1,1
38,17,Low,0,0,1,0,0,1,1,0,1,1,0
172,17,Low,0,0,1,0,0,1,1,1,1,0,0
2341,17,Low,1,1,1,1,0,1,1,1,0,1,1
36,18,Low,1,0,1,0,1,1,0,1,0,0,1
43,18,Low,1,0,1,0,0,1,1,0,1,1,0
44,18,Low,1,0,1,0,1,1,0,1,1,0,1
35,18,Low,1,0,1,0,1,1,1,0,1,0,0
31,18,Low,0,0,1,0,0,1,1,0,0,0,0
79,18,Low,0,1,1,0,1,1,0,0,0,0,1
23,18,Low,0,0,0,0,0,1,0,0,0,0,1
36,19,Low,1,0,1,0,1,1,1,0,1,1,0
56,19,Low,1,0,0,0,0,1,0,1,0,0,1
74,19,Low,1,0,1,0,1,1,1,1,1,1,0
65,19,Low,1,0,1,0,1,1,1,1,1,0,0
51,20,Low,0,0,0,0,0,1,0,0,0,1,1
98,20,Low,1,0,1,0,0,1,1,1,1,1,0
40,21,Low,0,0,1,0,0,1,0,0,1,1,0
85,21,Low,1,0,1,0,1,1,0,1,0,1,1
30,21,Low,0,0,1,0,1,1,1,0,1,1,0
201,21,Low,0,0,1,0,0,1,1,1,1,1,0
28,21,Low,0,0,1,0,1,1,0,0,0,0,1
73,21,Low,1,0,1,0,1,1,1,1,0,0,0
43,21,Low,1,0,1,0,1,1,1,0,1,0,1
34,22,Low,0,0,1,0,1,1,1,0,0,1,0
173,22,Low,0,1,1,0,0,1,1,0,1,0,0
76,22,Low,0,0,1,0,0,1,0,0,1,0,1
34,22,Low,0,0,1,0,1,1,1,0,1,0,0
34,22,Low,1,0,1,0,0,1,0,0,1,0,0
70,23,Low,1,0,1,0,1,1,1,1,0,0,1
34,23,Low,1,0,1,0,1,1,0,0,1,0,1
103,23,Low,1,0,0,0,0,1,0,1,0,1,1
41,23,Low,1,0,1,0,0,1,1,0,0,0,0
107,24,Low,1,1,1,0,1,1,0,0,1,0,1
41,24,Low,1,0,0,0,0,1,1,0,0,0,1
53,24,Low,0,0,1,0,1,1,0,1,0,0,1
131,24,Low,1,0,1,0,0,1,1,0,0,1,0
128,24,Low,1,0,1,0,0,1,1,1,0,0,0
104,24,Low,0,1,1,0,1,1,0,0,1,0,1
53,24,Low,1,0,1,0,1,1,1,1,1,0,1
159,24,Low,0,1,0,0,0,1,0,0,0,0,1
50,24,Low,1,0,1,0,1,1,1,0,0,0,1
52,24,Low,1,0,1,0,0,1,1,1,1,0,0
40,25,Low,1,0,1,0,1,1,1,0,0,0,0
149,25,Low,0,1,1,0,1,1,1,0,1,0,0
53,25,Low,0,0,1,0,0,1,0,0,1,0,0
116,25,Low,1,0,1,0,0,1,0,1,1,1,0
60,26,Low,1,0,1,0,0,1,0,0,1,1,0
194,26,Low,1,0,1,0,1,1,0,0,1,1,1
46,26,Low,0,0,0,0,0,1,1,0,0,0,1
52,26,Low,0,0,1,0,1,1,1,0,0,0,0
290,26,Low,0,0,1,0,0,1,1,1,0,1,0
74,26,Low,0,0,1,0,1,1,1,1,0,0,1
126,26,Low,0,1,1,0,1,1,1,0,1,1,0
47,26,Low,0,0,1,0,0,1,1,0,0,1,0
128,26,Low,0,1,1,0,1,1,0,0,1,1,0
51,26,Low,1,0,1,0,0,1,0,1,1,0,0
66,26,Low,1,0,0,0,0,1,1,1,0,0,1
67,27,Low,0,0,0,0,0,1,0,0,1,0,1
45,27,Low,1,0,1,0,1,1,0,0,1,0,0
115,27,Low,0,0,1,0,1,1,1,1,0,0,0
112,27,Low,1,0,1,0,1,1,1,1,0,1,0
167,27,Low,1,0,0,0,0,1,0,0,1,1,1
199,27,Low,1,1,0,0,0,1,0,0,0,0,1
129,27,Low,0,0,1,0,0,1,0,1,1,1,0
195,27,Low,0,1,0,0,0,1,0,0,0,1,1
42,28,Low,0,0,1,0,1,1,0,0,1,0,1
187,28,Low,1,0,0,0,0,1,0,1,1,1,1
50,28,Low,0,0,1,0,1,1,0,0,1,1,0
127,28,Low,0,1,1,0,1,1,0,0,0,1,1
120,28,Low,0,1,1,0,1,1,0,0,1,1,1
80,28,Low,0,0,0,0,0,1,1,0,1,0,1
37,28,Low,0,0,1,0,1,1,1,0,0,0,1
85,28,Low,0,0,1,0,1,1,0,0,0,1,1
51,28,Low,1,0,0,0,0,1,0,0,1,0,1
158,28,Low,1,0,1,0,1,1,0,1,1,1,1
133,29,Low,1,0,1,0,1,1,0,0,0,1,1
77,29,Low,0,0,0,0,0,1,1,0,0,1,1
390,29,Low,0,0,0,0,0,1,0,1,0,1,1
619,29,Low,1,1,1,0,0,1,1,0,1,0,0
220,29,Low,0,1,0,0,0,1,1,0,0,0,1
103,29,Low,0,1,1,0,0,1,0,0,1,1,0
103,29,Low,1,0,1,0,1,1,0,0,0,1,0
106,29,Low,0,0,1,0,1,1,1,1,1,1,0
358,29,Low,1,1,0,0,0,1,0,0,0,1,1
231,29,Low,1,1,1,1,1,1,0,1,1,1,1
95,30,Low,0,0,0,0,0,1,0,0,1,1,1
113,31,Low,1,1,1,0,1,1,0,0,0,0,1
102,31,Low,0,0,1,0,1,1,1,1,0,1,0
68,31,Low,0,0,1,0,1,1,0,0,1,0,0
60,31,Low,1,0,0,0,0,1,1,0,1,0,1
358,32,Low,0,0,0,0,0,1,1,1,0,1,1
75,32,Low,0,0,1,0,1,1,0,1,1,0,1
49,32,Low,0,0,1,0,1,1,1,0,1,0,1
185,32,Low,0,1,1,0,0,1,0,0,1,0,0
95,32,Low,1,0,1,0,0,1,0,1,1,0,1
62,32,Low,1,0,1,0,0,1,0,0,1,0,1
170,32,Low,1,0,0,0,0,1,1,1,0,1,1
145,33,Low,0,1,1,0,1,1,0,0,1,0,0
132,33,Low,1,0,1,0,1,1,0,1,1,1,0
203,33,Low,1,0,1,0,1,1,0,1,0,1,0
117,33,Low,1,0,1,0,0,1,0,1,0,0,0
213,34,Low,0,1,0,0,0,1,0,0,1,0,1
221,34,Low,1,1,0,0,0,1,0,0,1,0,1
187,34,Low,0,0,1,0,1,1,0,1,0,1,1
69,34,Low,0,0,1,0,1,1,0,0,0,1,0
77,34,Low,1,0,1,0,1,1,0,1,1,0,0
218,34,Low,0,1,1,0,1,1,1,0,0,0,0
115,34,Low,0,0,1,0,1,1,1,1,1,0,0
173,34,Low,0,0,0,0,0,1,0,1,0,0,1
2656,34,Low,0,1,1,0,0,1,1,1,1,0,0
95,34,Low,0,0,1,0,0,1,0,0,0,1,0
171,34,Low,0,1,1,0,0,1,1,0,1,1,0
133,35,Low,1,1,1,0,1,1,0,0,1,1,0
218,35,Low,0,0,1,0,0,1,0,1,1,0,0
166,35,Low,0,1,1,0,1,1,1,0,0,0,1
302,35,Low,1,1,1,0,0,1,0,0,1,0,0
245,35,Low,0,1,1,0,1,1,0,0,0,0,0
292,35,Low,1,1,1,0,1,1,1,0,0,0,1
258,35,Low,0,0,1,0,0,1,1,1,0,0,0
139,35,Low,0,1,0,0,0,1,0,0,1,1,1
187,36,Low,1,0,1,0,0,1,0,0,0,1,0
84,36,Low,1,0,1,0,1,1,1,0,0,1,0
234,36,Low,0,1,1,0,1,1,1,0,1,0,1
110,36,Low,1,0,0,0,0,1,1,1,1,0,1
271,36,Low,1,0,0,0,0,1,1,1,1,1,1
420,37,Low,1,1,1,0,1,1,0,1,0,0,1
85,37,Low,0,0,1,0,0,1,0,0,0,0,0
95,37,Low,1,0,0,0,0,1,0,1,1,0,1
262,37,Low,1,0,1,0,0,1,0,1,0,1,0
88,38,Low,0,0,1,0,1,1,0,0,1,1,1
169,38,Low,1,1,1,0,1,1,0,0,1,1,1
420,38,Low,0,1,1,0,1,1,0,1,0,0,1
70,38,Low,1,0,1,0,1,1,0,0,1,1,0
2403,38,Low,1,1,1,0,0,1,1,1,1,0,0
220,38,Low,1,0,1,0,0,1,1,1,0,1,0
208,39,Low,0,1,1,0,1,1,1,0,0,1,0
242,39,Low,1,1,1,0,0,1,0,0,1,1,0
390,39,Low,1,1,1,0,1,1,0,1,1,0,1
84,39,Low,0,0,1,0,1,1,0,0,0,0,0
70,39,Low,1,0,1,0,1,1,0,0,0,0,0
86,39,Low,0,0,0,0,0,1,1,0,0,1,0
145,40,Low,0,0,1,0,1,1,0,1,1,1,0
79,40,Low,1,0,1,0,0,1,0,0,0,0,0
181,40,Low,0,1,1,0,1,1,0,0,0,1,0
153,40,Low,0,0,1,0,1,1,1,1,1,0,1
2557,40,Low,0,1,0,0,0,1,0,1,0,1,1
1488,40,Low,1,1,0,0,0,1,0,1,0,0,1
162,40,Low,1,1,1,0,1,1,1,0,1,1,0
444,41,Low,1,1,0,0,0,1,1,0,0,0,1
303,41,Low,1,1,1,0,1,1,1,0,1,0,0
232,41,Low,0,0,0,0,0,1,1,1,0,0,1
219,41,Low,0,1,0,0,0,1,1,0,0,1,1
405,41,Low,0,1,1,0,0,1,1,0,0,0,0
131,42,Low,1,0,0,0,0,1,1,0,0,1,1
359,42,Low,0,1,1,0,0,1,0,0,0,0,0
265,42,Low,0,1,1,0,0,1,0,0,0,1,0
138,42,Low,1,0,0,0,0,1,1,0,0,1,0
362,43,Low,0,1,1,0,0,1,0,0,1,0,1
209,43,Low,1,0,0,0,0,1,1,1,0,1,0
1342,43,Low,0,1,1,0,1,1,1,1,0,0,0
315,43,Low,1,1,1,0,0,1,1,0,1,1,0
20949,299,Low,0,1,1,0,0,1,1,1,0,1,1
840,44,Low,0,0,0,0,0,1,0,1,1,1,1
185,44,Low,1,0,0,0,0,1,1,0,1,1,1
126,44,Low,0,0,0,0,0,1,1,0,1,1,1
223,45,Low,0,0,1,0,0,1,0,0,0,0,1
378,45,Low,0,1,1,0,0,1,1,0,0,1,0
1321,45,Low,1,1,1,0,0,1,0,1,1,0,0
241,45,Low,0,0,1,0,1,1,0,1,1,1,1
472,45,Low,0,0,0,0,0,1,1,1,1,0,1
2082,45,Low,1,1,0,0,0,1,0,1,0,1,1
327,46,Low,0,1,0,0,0,1,1,0,1,1,1
132,46,Low,1,0,1,0,1,1,0,1,0,0,0
192,47,Low,1,0,1,0,1,1,1,1,0,1,1
417,47,Low,0,1,1,0,1,1,0,1,1,0,1
1445,47,Low,1,1,1,0,0,1,1,1,1,1,0
169,47,Low,1,0,1,0,0,1,0,1,0,0,1
321,47,Low,1,1,0,0,0,1,0,0,1,1,1
1310,47,Low,0,1,0,0,0,1,0,1,0,0,1
479,47,Low,0,0,0,0,0,1,0,1,1,0,1
2417,47,Low,0,1,0,0,0,1,0,1,1,0,1
162,48,Low,1,0,0,0,0,1,1,0,1,1,0
125,48,Low,0,0,0,0,0,1,1,0,1,1,0
360,48,Low,1,1,1,0,1,1,1,0,1,0,1
373,49,Low,0,1,0,0,0,1,1,0,1,0,1
138,49,Low,0,0,1,0,1,1,1,0,0,1,1
171,49,Low,0,0,1,0,1,1,0,1,1,0,0
914,49,Low,0,0,1,0,0,1,0,1,0,0,0
460,49,Low,1,1,1,0,1,1,1,0,0,0,0
15716,305,Low,0,1,0,0,0,1,0,1,1,0,0
516,50,Low,0,1,1,0,0,1,0,0,0,0,1
687,51,Low,0,1,0,0,0,1,1,0,0,1,0
1902,51,Low,0,1,1,0,0,1,1,1,1,1,0
381,51,Low,1,1,1,0,0,1,0,0,1,0,1
1952,51,Low,0,1,1,0,0,1,0,1,1,0,0
225,51,Low,0,0,1,0,0,1,0,1,1,0,1
957,52,Low,1,1,1,0,1,1,1,1,1,0,0
210,52,Low,0,0,1,0,1,1,0,1,0,1,0
237,52,Low,1,1,1,0,1,1,0,0,0,1,1
1206,52,Low,1,1,0,0,0,1,1,0,0,1,1
285,52,Low,0,1,1,0,1,1,1,0,0,1,1
6201,53,Low,0,1,1,0,0,1,1,1,0,0,0
1909,53,Low,0,1,1,0,0,1,0,1,1,0,1
587,53,Low,1,1,1,0,0,1,0,0,0,1,0
935,54,Low,1,1,1,0,0,1,0,1,1,1,0
664,54,Low,1,1,1,0,1,1,0,1,1,0,0
938,54,Low,0,1,1,0,1,1,0,1,0,1,1
570,54,Low,1,1,1,0,1,1,1,1,1,1,0
108,54,Low,1,0,1,0,0,1,0,0,0,0,1
1130,54,Low,0,1,1,0,0,1,0,1,1,1,0
1342,55,Low,1,1,0,0,0,1,1,0,1,0,1
2807,55,Low,1,1,0,0,0,1,0,1,1,0,1
249,55,Low,1,0,1,0,1,1,1,1,1,1,1
205,55,Low,0,0,0,0,0,1,1,0,0,0,0
364,55,Low,1,0,0,0,0,1,1,0,0,0,0
293,55,Low,1,0,0,0,0,1,1,1,1,1,0
884,56,Low,0,1,1,0,1,1,1,1,1,0,1
352,56,Low,1,1,1,0,1,1,0,0,0,0,0
245,56,Low,1,1,1,0,1,1,0,0,0,1,0
375,56,Low,1,0,1,0,0,1,0,1,1,1,1
279,56,Low,1,0,1,0,0,1,1,1,1,0,1
213,56,Low,1,1,1,0,1,1,0,0,1,0,0
592,56,Low,1,0,0,0,0,1,1,1,0,0,0
353,56,Low,1,1,1,0,1,1,1,0,0,1,0
3787,57,Low,0,1,0,0,0,1,0,1,1,1,1
362,57,Low,0,0,0,0,0,1,1,1,0,1,0
811,57,Low,1,1,1,0,1,1,1,1,0,0,1
5547,57,Low,1,1,1,0,0,1,1,1,0,0,0
1821,57,Low,1,1,1,0,0,1,0,1,1,0,1
1445,57,Low,1,1,1,0,0,1,1,0,0,0,0
1205,58,Low,0,1,1,0,1,1,1,1,1,0,0
1187,58,Low,1,1,1,0,1,1,1,1,0,0,0
772,58,Low,0,0,1,0,0,1,0,1,0,1,0
846,58,Low,1,1,1,0,0,1,1,0,0,1,0
164,58,Low,0,0,1,0,1,1,1,0,1,1,1
635,59,Low,0,1,1,0,1,1,1,1,1,1,0
3381,59,Low,1,1,1,0,0,1,0,1,0,0,0
2436,59,Low,1,1,1,0,0,1,0,1,0,1,0
2277,59,Low,1,1,0,0,0,1,1,1,0,0,1
870,60,Low,1,1,1,0,1,1,1,1,1,0,1
165,60,Low,0,0,1,0,0,1,0,0,1,1,1
486,61,Low,1,1,1,0,1,1,0,1,1,1,0
238,61,Low,1,0,1,0,1,1,1,0,0,1,1
3620,61,Low,0,1,0,0,0,1,1,1,1,0,1
330,61,Low,0,0,1,0,1,1,0,1,0,0,0
4094,61,Low,1,1,0,0,0,1,0,1,1,1,1
580,61,Low,0,0,1,0,0,1,0,1,0,0,1
3259,62,Low,0,1,1,0,0,1,0,1,0,1,0
551,62,Low,0,1,1,0,1,1,0,1,1,1,0
926,62,Low,1,1,1,0,0,1,0,0,0,0,0
1987,63,Low,0,1,0,0,0,1,1,1,0,0,1
910,63,Low,0,1,1,0,1,1,0,1,0,1,0
3725,63,Low,1,1,1,0,0,1,1,1,0,1,0
1042,63,Low,0,0,0,0,0,1,1,1,1,1,1
567,63,Low,0,0,0,0,0,1,1,1,1,1,0
838,64,Low,1,1,1,0,1,1,0,1,0,1,1
706,64,Low,1,1,1,0,1,1,0,1,0,1,0
2811,64,Low,1,1,0,0,0,1,1,1,0,1,1
1380,64,Low,1,1,0,0,0,1,1,0,0,1,0
566,64,Low,0,1,0,0,0,1,1,0,1,1,0
19622,320,Low,1,1,1,0,0,1,1,1,0,1,1
247,65,Low,0,0,1,0,1,1,1,1,0,1,1
479,65,Low,1,0,1,0,0,1,0,0,1,1,1
300,66,Low,1,0,1,0,0,1,1,1,0,0,1
796,66,Low,1,1,1,0,1,1,0,1,1,1,1
832,66,Low,1,1,1,0,1,1,1,1,0,1,0
838,66,Low,0,1,1,0,1,1,1,1,0,0,1
3885,67,Low,0,1,1,0,0,1,0,1,0,0,0
4063,67,Low,1,1,0,0,0,1,1,1,1,0,1
1029,67,Low,1,1,1,0,1,1,0,1,0,0,0
1772,68,Low,0,0,1,0,0,1,0,1,0,1,1
952,70,Low,0,1,1,0,1,1,0,1,1,0,0
1668,71,Low,1,1,0,0,0,1,1,0,1,1,0
165,71,Low,1,0,1,0,0,1,1,0,1,0,1
307,71,Low,1,0,1,0,1,1,1,0,1,1,1
2817,71,Low,0,1,0,0,0,1,1,1,0,1,1
361,71,Low,1,0,0,0,0,1,1,0,1,0,0
4422,71,Low,0,1,1,0,0,1,1,1,0,1,0
926,72,Low,0,1,1,0,0,1,0,0,1,1,1
693,72,Low,1,0,0,0,0,1,1,1,1,0,0
772,72,Low,0,1,1,0,1,1,0,1,1,1,1
1940,72,Low,1,1,0,0,0,1,1,0,1,1,1
665,72,Low,1,0,1,0,0,1,0,1,0,1,1
244,72,Low,0,0,0,0,0,1,1,0,1,0,0
399,73,Low,0,0,1,0,0,1,1,1,1,0,1
677,73,Low,1,1,1,0,0,1,0,0,0,0,1
570,74,Low,1,0,1,0,0,1,0,0,0,1,1
1353,77,Low,0,1,1,0,1,1,0,1,0,0,0
579,77,Low,0,0,1,0,0,1,0,1,1,1,1
998,77,Low,0,0,0,0,0,1,1,1,0,0,0
177,77,Low,0,0,1,0,0,1,1,0,1,0,1
3479,78,Low,1,1,0,0,0,1,1,1,0,1,0
1268,78,Low,0,1,0,0,0,1,1,0,1,0,0
1104,79,Low,0,1,0,0,0,1,1,0,0,0,0
3964,79,Low,1,1,1,0,0,1,0,1,0,0,1
328,79,Low,0,1,1,0,1,1,1,0,1,1,1
799,79,Low,0,1,1,0,1,1,1,1,0,1,0
279,79,Low,0,0,1,0,0,1,0,0,0,1,1
482,80,Low,0,0,1,0,1,1,1,1,1,1,1
5133,82,Low,1,1,0,0,0,1,1,0,1,0,0
809,82,Low,0,1,0,0,0,1,0,0,0,1,0
5011,85,Low,1,1,0,0,0,1,1,1,1,1,1
229,85,Low,1,0,1,0,0,1,1,0,0,0,1
256,86,Low,0,0,0,0,0,1,0,0,0,1,0
3382,86,Low,0,1,1,0,0,1,0,1,0,0,1
254,86,Low,0,0,1,0,0,1,1,0,0,0,1
782,87,Low,1,1,1,0,1,1,1,0,0,1,1
478,87,Low,0,1,0,0,0,1,0,0,1,1,0
496,88,Low,0,0,1,0,0,1,1,1,0,0,1
5115,90,Low,0,1,0,0,0,1,1,1,1,1,1
229,91,Low,1,0,0,0,0,1,0,0,0,1,0
1732,92,Low,0,1,1,0,0,1,0,0,0,1,1
1132,92,Low,1,1,1,0,0,1,0,0,1,1,1
2965,92,Low,1,1,0,0,0,1,1,0,0,0,0
3912,92,Low,0,1,0,0,0,1,1,1,0,1,0
3378,348,Low,0,0,0,0,0,1,0,1,1,0,0
1114,97,Low,1,1,0,0,0,1,0,0,0,1,0
923,101,Low,0,1,1,0,0,1,1,0,1,0,1
549,102,Low,1,0,0,0,0,1,0,1,1,1,0
467,103,Low,1,0,0,0,0,1,0,1,0,1,0
7333,103,Low,1,1,0,0,0,1,1,1,0,0,0
4367,104,Low,0,1,1,0,0,1,0,1,1,1,1
3861,104,Low,1,1,1,0,0,1,0,1,1,1,1
225,105,Low,0,0,0,0,0,1,0,0,1,1,0
4407,105,Low,1,1,0,0,0,1,1,1,1,1,0
5903,106,Low,0,1,0,0,0,1,1,1,1,1,0
856,106,Low,1,1,1,0,1,1,1,0,1,1,1
5119,110,Low,1,1,1,0,0,1,1,1,1,0,1
812,111,Low,1,1,0,0,0,1,0,0,1,1,0
1686,115,Low,1,1,1,0,0,1,1,0,1,0,1
4758,116,Low,0,1,1,0,0,1,1,1,1,0,1
305,118,Low,1,0,0,0,0,1,0,0,1,1,0
11698,118,Low,1,1,0,0,0,1,1,1,1,0,0
1539,119,Low,0,0,0,0,0,1,1,1,1,0,0
1266,121,Low,0,1,1,0,0,1,1,0,0,0,1
5816,124,Low,0,1,0,0,0,1,0,1,0,1,0
954,125,Low,0,0,0,0,0,1,0,1,0,1,0
7891,127,Low,0,1,0,0,0,1,1,1,0,0,0
1056,129,Low,1,0,1,0,0,1,1,1,1,1,1
1789,129,Low,0,1,0,0,0,1,0,0,0,0,0
10124,129,Low,0,1,1,0,0,1,0,1,0,1,1
4872,133,Low,1,1,0,0,0,1,0,1,0,1,0
774,134,Low,0,0,1,0,0,1,1,0,1,1,1
9752,395,Low,1,1,1,0,0,1,1,0,0,1,1
8160,141,Low,1,1,1,0,0,1,0,1,0,1,1
2215,397,Low,0,1,1,0,1,1,1,1,1,1,1
2548,142,Low,1,1,1,0,0,1,0,0,0,1,1
