feature,avg,std
year,1.0,0.0
names,1.01376911454551,0.32012972854253113
owned_repository,0.6829621582473293,0.4653644377888612
commits,2.17732293730446,3.9211985101531375
files_edited,4.153844523315265,61.448998239770134
files_created,6.499201008313835,128.75490729762194
files_owned,5.626083432441521,222.13474532908367
files_edited_ccp,3.041239138782912,78.00309455523362
files_created_ccp,1.9722051960696465,48.84444730725975
files_owned_ccp,2.5084759943142054,62.99101710046546
corrective_rate,1.3073733849451998,4.771399800265185
ccp,3.097284514756303,78.19076056427478
refactor_mle,1.211370114628969,24.293946697572945
cursing_rate,0.5869293123455999,1.1119639558045729
positive_sentiment_rate,0.6938611046186292,3.7399200116923383
negative_sentiment_rate,0.7635737293141078,1.6830178586454223
avg_coupling_size,1.447790082409377,5.14616098587107
avg_coupling_code_size,3.7714202815062574,88.59818468644968
avg_coupling_size_capped,1.332697390622588,2.4592375908254485
avg_coupling_code_size_capped,2.649412809891212,36.89189014291551
avg_coupling_size_cut,1.2815102249144776,1.8292153006368457
avg_coupling_code_size_cut,1.6984345461036032,12.969664646786056
tests_presence,2.829727556205495,24.481458272623872
multiline_message_ratio,1.1148877483189297,2.8534462197723127
message_length_avg,1.4523320262273405,5.510816625314071
corrective_multiline_message_ratio,1.0660806751048213,1.3427323146554178
corrective_message_length_avg,2.1821635593386617,11.518026761381345
non_corrective_multiline_message_ratio,1.0977702947490575,2.6326411447692157
non_corrective_message_length_avg,1.333489099455583,5.031124849705977
duplicated_commits_ratio,1.0,0.0
self_from_all_ratio,2.17732293730446,3.9211985101531375
same_date_duration_avg,16.051623459098963,210.3563445345561
same_date_commits,5.423682385916714,21.348522189828344
commit_period,1.4045023985164375,3.9009514636412734
commits_per_day,1.2073738214762348,0.9601260353902212
commit_days,2.1737120456533723,3.9184673140869863
commit_weeks,1.416634525801678,1.5904784082951708
commit_months,1.1738980052703307,0.8655383505988462
commit_days_of_week,1.0736953896322288,0.5241949129757636
commit_hours,1.3434215883466645,1.421408413020537
commit_day_density,2.200785385436911,5.596368362873321
Sunday_prob,1.4790219891149627,5.556217609651492
Monday_prob,1.5106576921544308,2.94303995783206
Tuesday_prob,1.4098958705907767,3.0781636963282426
Wednesday_prob,1.4397534246934849,3.2487118389533967
Thursday_prob,1.463176284076724,3.2062464774879347
Friday_prob,1.4499894859045042,2.9558100565605328
Saturday_prob,1.3698839043493132,4.9249121497820685
days_entropy,1.132507549690315,1.1044403517681838
hour_entropy,,
avg_file_size,167.6508241085752,35924.1972549852
capped_avg_file_size,27.563663939834466,2318.059613341461
avg_code_file_size,5.809914786670243,226.63918547081497
capped_avg_code_file_size,5.172212594866849,219.50443523254253
sum_file_size,403.08295108113253,47520.864611599056
capped_sum_file_size,125.54174051395628,15413.71981455834
sum_code_file_size,21.795215649145565,1076.68733356605
capped_sum_code_file_size,19.207075520436426,1028.2646126485388
prev_touch_ago,215.12970042848087,7493.364739510854
bug_prev_touch_ago,189.97963885982682,6857.80605421293
same_day_duration_avg,16.051623459098963,210.3563445345561
one_file_fix_rate,1.1007046751713798,1.891355003967434
one_file_refactor_rate,1.057932972165334,1.4411788535117187
test_usage_rate,1.0229753238656525,0.3092630729112749
test_usage_in_refactor_rate,1.0121793550630431,0.3419451421810176
no_test_refactor_rate,1.0549052084981887,0.6755887204825437
textual_abstraction_commits,0.6680315822575713,1.890526730399608
textual_abstraction_commits_rate,0.6295144793465756,1.7165082291818723
testing_involved_prob,-1.1263350834363972,14.442338045958335
corrective_testing_involved_prob,-0.4222791717991624,4.853739732831769
refactor_testing_involved_prob,-0.2975016483099903,7.9538071010911215
abs_content_ratio,,
minutes_to_revert,63.362914705713,914.3765586145454
reverted_ratio,1.3508699559131074,1.8923249240129565
performance_rate,0.8061961055768686,2.1299824283757087
security_rate,1.4223366255329897,5.6153599985028935
author_id,1.0,0.0
issues,3.0073119159729584,12.184742509538395
assigned_issues,2.9657084342484903,12.145367420192215
assigned_issues_ratio,0.9986494738924035,0.28997188198850754
closed_issues,2.7230728627577148,11.153759130611244
closed_issues_ratio,1.0657621708753593,1.0671014459478672
merged_issues,0.7782798256044391,2.0114538371456425
merged_issues_ratio,0.5148323490013065,0.5580077948363144
reopened_issues,0.2747891407485504,0.8019859526053199
reopened_issues_ratio,0.5714094625156434,2.1245028224019777
milestoned_issues,1.58740767344591,4.9143041521555215
milestoned_issues_ratio,0.8717544647411549,1.2924658252325094
demilestoned_issues,0.35102253049021104,0.9217174049637612
demilestoned_issues_ratio,0.5522533035766003,1.3565609345913392
assigned_to_closed_minutes,405.79387504534134,4930.5706081664475
created_to_assigned_minutes,1280.036658488056,24683.2643478525
created_to_closed_minutes,362.2216249622802,4793.620770116215
pull_requests,4.314497964979605,15.57746083871219
opened_prs,4.314497964979605,15.57746083871219
opened_pr_ratio,1.0,0.0
closed_prs,4.532865347399971,16.964545644655942
closed_pr_ratio,1.033214794804389,0.4236610946871573
merged_prs,2.480972140372041,6.332836835088798
merged_pr_ratio,1.8579480226731224,5.693336303679818
first_to_last_commit_minutes,269.10402655484245,3294.865481761621
open_to_merge_minutes,78.86081619553681,1542.7446360403312
first_commit_to_merge_minutes,94.31488860501301,1249.3060983221494
sloppy_pr_ratio,1.2156152139462058,3.895114760269388
